Tipo,Diametro (pg),"Toberas 1/32""",TFA (pg2),Diametro decimal
PDC,4 1/8,3 x 14,0.451,4.125
NQEPX,4 1/8,3 x 14,0.451,4.125
PDC,4 1/8,3 x 14,0.451,4.125
434,6    ,3 x 18,0.745,6
MilledTooth,6 1/2,2 x 10 / 1x 11,0.246,6.5
PDC,6 1/2,9 x 16,1.767,6.5
434,8 1/2,4 x 16,0.785,8.5
PDC,8 1/2,3 x 10 / 3 x 11,0.509,8.5
PDC,8 1/2,5 x 10 / 1 x 9,0.446,8.5
PDC,8 1/2,5 x 9 / 1 x 8,0.36,8.5
PDC,8 1/2,3 x 9 / 3 x 10,0.416,8.5
XR+PS,8 1/2,3 x 20,0.92,8.5
Insert ,10 5/8,2 x 13 / 1 x 14,0.41,10.625
MDSI813,10 5/8,4 x 10 / 2 x 11,0.4095,10.625
135,12 1/4,4 x 20,1.227,12.25
MilledTooth,14 1/2,3 x 24 / 1 x 32,2.111,14.5
TRICONICA,14 1/2,3 x 24 ,1.25,14.5
PDC,18 1/4,3 x 9 / 6 x 14,1.088,18.25
MilledTooth,26    ,2 x 22 / 1 x 18 / 1x 16,1.187,26
TRICONICA,26    ,3 x 18 / 1 x 16,0.942,26
MilledTooth,28    ,4 x 15,0.69,28
112,36    ,5 x 32,3.926,36
MilledTooth,36    ,3 x 15 / 1 x 16,0.714,36
