2 3/8 REG ,PIN,2 3/8 REG ,PIN,3 1/2 ,457 ,20
2 3/8 REG ,PIN,2 3/8 REG ,PIN,4     ,457 ,27
2 7/8 IF  ,PIN,2 7/8 IF  ,PIN,4 1/2 ,457 ,32
3 1/2 REG ,PIN,3 1/2 REG ,PIN,4 1/2 ,610 ,44
3 1/2 REG ,PIN,3 1/2 REG ,PIN,5     ,610 ,55
3 1/2 BECO,PIN,3 1/2 BECO,PIN,5     ,610 ,53
3 1/2 BECO,PIN,3 1/2 BECO,PIN,5 1/2 ,610 ,66
4 BECO    ,PIN,4 BECO    ,PIN,6 1/4 ,610 ,80
4 BECO    ,PIN,4 BECO    ,PIN,6 1/2 ,610 ,88
4 1/2 BECO,PIN,4 1/2 BECO,PIN,6 1/4 ,610 ,80
4 1/2 BECO,PIN,4 1/2 BECO,PIN,6 1/2 ,610 ,88
4 1/2 BECO,PIN,4 1/2 BECO,PIN,7     ,610 ,104
5 1/4 BECO,PIN,5 1/4 BECO,PIN,7 1/2 ,610 ,123
5 1/4 BECO,PIN,5 1/4 BECO,PIN,7 5/8 ,781 ,156
6 BECO    ,PIN,6 BECO    ,PIN,8 5/8 ,781 ,197
6 BECO    ,PIN,6 BECO    ,PIN,9 1/4 ,813 ,241
7 BECO    ,PIN,7 BECO    ,PIN,9 5/8 ,889 ,285
8 BECO    ,PIN,8 BECO    ,PIN,10 3/4,889 ,337
8 BECO    ,PIN,8 BECO    ,PIN,12 1/4,1067,551
10 BECO   ,PIN,10 BECO   ,PIN,12 3/4,1067,593
10 BECO   ,PIN,10 BECO   ,PIN,13 3/8,1067,663
2 3/8 REG ,BOX,2 3/8 IF  ,BOX,3 1/2 ,20  ,17
3 1/2 REG ,BOX,2 3/8 IF  ,BOX,3 1/2 ,20  ,15
3 1/2 REG ,BOX,3 1/2 IF  ,BOX,4 3/4 ,20  ,18
3 1/2 REG ,BOX,2 7/8 IF  ,BOX,4 1/2 ,20  ,27
3 1/2 REG ,BOX,3 1/2 IF  ,BOX,4 3/4 ,20  ,18
2 3/8 REG ,BOX,2 3/8 IF  ,BOX,3 1/2 ,20  ,17
4 1/2 REG ,BOX,3 1/2 IF  ,BOX,5 1/2 ,20  ,18
4 1/2 REG ,BOX,3 1/2 IF  ,BOX,5 1/2 ,24  ,21
4 1/2 REG ,BOX,2 7/8 IF  ,PIN,4 1/2 ,24  ,39
4 FH      ,PIN,3 1/2 REG ,BOX,5 1/2 ,24  ,65
4 FH      ,PIN,4 1/2 REG ,BOX,5 1/2 ,24  ,57
4 FH      ,PIN,6 5/8 REG ,BOX,7 3/4 ,24  ,90
