9      ,2 1/2  ,0.75
9 1/2  ,3      ,0.64
3 1/8  ,1 1/4  ,0.64
6 3/4  ,2 4/5  ,0.88
8      ,2 1/2  ,1.5
4 3/4  ,2 1/4  ,0.62
1 21/32,1      ,0.15
1 29/32,1 1/4  ,0.16
1 29/32,1      ,0.16
1 13/32,1  9/16,0.17
1 13/32,1 1/4  ,0.17
1 13/16,1 7/8  ,0.25
1 13/16,1 5/8  ,0.25
3 1/8  ,1 7/8  ,0.25
3 1/8  ,1 5/8  ,0.25
3 15/32,2  5/16,0.21
3 15/32,1 31/32,0.21
3 21/32,2 1/2  ,0.30
3 21/32,2  3/16,0.30
3 7/8  ,2 3/4  ,0.25
3  7/8 ,2 1/4  ,0.25
4 25/32,3 1/4  ,0.30
4 25/32,2 7/8  ,0.30
5 11/16,4 1/8  ,0.37
6 3/4,2.81,0.70
9 1/2,2 13/16,3.7
